iter	RMSE
0	14.07663114
1	12.33078635
2	11.0756586
3	10.20945619
4	9.760684595
5	9.444905053
6	9.282153998
7	9.132170608
8	9.041518746
9	8.954546778
10	8.88540072
11	8.845296302
12	8.802188625
13	8.755168634
14	8.705119414
15	8.656432181
16	8.6248592
17	8.602668253
18	8.592626687
19	8.556237191
20	8.522060699
21	8.485323773
22	8.460413997
23	8.435551559
24	8.406819586
25	8.386017917
26	8.35030802
27	8.339626993
28	8.318829306
29	8.301372179
30	8.274619867
31	8.238982901
32	8.198277506
33	8.126466031
34	8.105159506
35	8.051329576
36	8.031562427
37	8.016402937
38	8.005144978
39	7.952463924
40	7.910442441
41	7.876332967
42	7.844220754
43	7.799911055
44	7.776484046
45	7.753952694
46	7.74796167
47	7.715370839
48	7.667525607
49	7.639586136
50	7.595323227
51	7.559782208
52	7.520793135
53	7.455635129
54	7.418329036
55	7.383071949
56	7.356140622
57	7.350016176
58	7.306134866
59	7.268861079
60	7.239889316
61	7.21249932
62	7.176628256
63	7.15637034
64	7.128897194
65	7.087853329
66	7.050404614
67	7.013250545
68	6.967590121
69	6.929222829
70	6.892681256
71	6.88712201
72	6.866647811
73	6.822952082
74	6.804915806
75	6.774067054
76	6.738582752
77	6.723701091
78	6.696277613
79	6.659198923
80	6.648735242
81	6.621532035
82	6.597322957
83	6.587772448
84	6.569455688
85	6.532991919
86	6.50406081
87	6.472217809
88	6.438768486
89	6.403939111
90	6.378055954
91	6.348089992
92	6.324122126
93	6.294809173
94	6.261884186
95	6.248242162
96	6.225820735
97	6.223049835
98	6.193661023
99	6.168465852
