iter	Passed	Remaining
0	37	3678
1	74	3646
2	105	3411
3	135	3258
4	182	3470
5	227	3561
6	258	3429
7	287	3303
8	324	3281
9	353	3185
10	389	3153
11	428	3139
12	460	3084
13	486	2989
14	514	2917
15	547	2874
16	584	2855
17	612	2790
18	648	2763
19	679	2718
20	705	2653
21	738	2617
22	770	2579
23	797	2526
24	827	2481
25	860	2448
26	889	2406
27	914	2352
28	945	2315
29	973	2272
30	1002	2230
31	1029	2187
32	1059	2151
33	1089	2115
34	1123	2087
35	1154	2052
36	1198	2041
37	1236	2018
38	1268	1983
39	1297	1946
40	1337	1924
41	1371	1894
42	1404	1861
43	1437	1829
44	1480	1809
45	1509	1772
46	1548	1746
47	1578	1710
48	1603	1669
49	1631	1631
50	1675	1610
51	1715	1583
52	1753	1554
53	1793	1527
54	1839	1505
55	1884	1480
56	1928	1455
57	1963	1421
58	1998	1388
59	2043	1362
60	2078	1328
61	2113	1295
62	2151	1263
63	2192	1233
64	2234	1203
65	2267	1168
66	2301	1133
67	2340	1101
68	2378	1068
69	2418	1036
70	2459	1004
71	2495	970
72	2539	939
73	2566	901
74	2596	865
75	2621	827
76	2683	801
77	2719	767
78	2771	736
79	2796	699
80	2844	667
81	2870	630
82	2907	595
83	2934	559
84	2970	524
85	3021	491
86	3050	455
87	3090	421
88	3128	386
89	3164	351
90	3198	316
91	3240	281
92	3297	248
93	3335	212
94	3363	177
95	3406	141
96	3447	106
97	3504	71
98	3541	35
99	3591	0
